"input","industry/01_primary","industry/02_secondary","industry/03_tertiary","finaldemand/04_finaldemand","export/05_export","import/06_import"
"industry/01_primary",1456611000000,7850628000000,1373767000000,3869875000000,47890000000,-2562809000000
"industry/02_secondary",2715710000000,161897553000000,62841827000000,132924323000000,54473273000000,-71673715000000
"industry/03_tertiary",2025270000000,66811645000000,155796589000000,352324555000000,16423417000000,-8921553000000
"valueadded/04_valueadded",5838371000000,106619145000000,364447740000000,,,
